ds,yhat,yhat_lower,yhat_upper
2009-06-15,106.47004997738601,97.7991576890626,114.65386363104852
2009-06-22,106.47795081001374,97.6735488845723,115.27916724116838
2009-06-29,106.27892394459265,97.1951089202651,114.28659441328358
2009-07-06,106.38099513626995,98.22196682807996,114.84250125954993
2009-07-13,106.93753086282442,97.89893905765489,115.14947622701688
2009-07-20,107.551812289227,98.94361684321102,116.19521038797417
2009-07-27,107.77636756180867,99.15441243513969,116.74120617411039
2009-08-03,107.6511546039807,99.38529466807564,116.11042817279481
2009-08-10,107.6009866019246,98.92397704434372,116.14584183946374
2009-08-17,107.86870009364246,98.74283083246355,115.85796148999411
2009-08-24,108.24444493220251,99.3127910885025,116.30276946782412
2009-08-31,108.40848771223025,100.28149933463092,116.98183655959454
2009-09-07,108.36755985442457,99.31141460709428,117.62286630955205
2009-09-14,108.37517013380857,99.8498954696528,116.95722712896975
2009-09-21,108.48587693365266,100.28749480846511,117.31173471437839
2009-09-28,108.43077128471367,99.82637762649323,116.35863986911569
2009-10-05,108.04406613840794,99.9512344522277,115.92730499666399
2009-10-12,107.63473361401903,99.28434310566867,116.27088611965016
2009-10-19,107.7092445431137,99.0377469691121,116.04390018687235
2009-10-26,108.21376571076651,99.70421847815314,116.95909975971286
2009-11-02,108.5036350737445,100.18542667100296,117.1344225098086
2009-11-09,108.08500713652889,99.98892833919065,116.66729421056567
2009-11-16,107.37909225919307,99.182665971673,116.09595176820943
2009-11-23,107.4130093694647,98.55168279138232,115.99767472214546
2009-11-30,108.61631033830365,100.41168430167487,117.12271475321916
2009-12-07,110.11994081311413,101.95728556352874,118.76533676370553
2009-12-14,110.53058723280759,102.85509501638235,119.56515606161777
2009-12-21,109.4330379127771,101.18709033108223,118.17996265902312
2009-12-28,107.9030907541117,99.106983215664,116.42564742643279
2010-01-04,107.37176271970165,98.16748148471152,115.5519946803775
2010-01-11,108.10500858075795,99.35017127326584,116.74488351731098
2010-01-18,109.05011113265822,100.41344608360657,117.40880314900176
2010-01-25,109.20557562446255,100.85883484866577,117.52659566344514
